image,method,clip_limit,tile_size,psnr,ssim
10.png,GHE,,,15.7867,0.4191
10.png,CLAHE,1.0,4x4,7.2159,0.2666
10.png,CLAHE,1.0,8x8,7.1158,0.2542
10.png,CLAHE,1.0,16x16,7.0051,0.2395
10.png,CLAHE,2.0,4x4,7.8455,0.3389
10.png,CLAHE,2.0,8x8,7.6533,0.3196
10.png,CLAHE,2.0,16x16,7.4092,0.2928
10.png,CLAHE,3.0,4x4,8.4839,0.3948
10.png,CLAHE,3.0,8x8,8.1592,0.3677
10.png,CLAHE,3.0,16x16,7.812,0.3351
10.png,CLAHE,4.0,4x4,9.1381,0.4342
10.png,CLAHE,4.0,8x8,8.7028,0.4044
10.png,CLAHE,4.0,16x16,8.2303,0.3676
100.png,GHE,,,16.6991,0.4555
100.png,CLAHE,1.0,4x4,8.4202,0.2382
100.png,CLAHE,1.0,8x8,8.3158,0.232
100.png,CLAHE,1.0,16x16,8.2088,0.2224
100.png,CLAHE,2.0,4x4,9.1083,0.3202
100.png,CLAHE,2.0,8x8,8.9239,0.3134
100.png,CLAHE,2.0,16x16,8.6849,0.2979
100.png,CLAHE,3.0,4x4,9.7838,0.3958
100.png,CLAHE,3.0,8x8,9.4682,0.3828
100.png,CLAHE,3.0,16x16,9.1969,0.3683
100.png,CLAHE,4.0,4x4,10.434,0.4445
100.png,CLAHE,4.0,8x8,10.0183,0.4276
100.png,CLAHE,4.0,16x16,9.6541,0.4123
101.png,GHE,,,21.8236,0.6437
101.png,CLAHE,1.0,4x4,8.4889,0.2981
101.png,CLAHE,1.0,8x8,8.4201,0.2913
101.png,CLAHE,1.0,16x16,8.2547,0.2752
101.png,CLAHE,2.0,4x4,9.3348,0.3893
101.png,CLAHE,2.0,8x8,9.1008,0.3711
101.png,CLAHE,2.0,16x16,8.789,0.3482
101.png,CLAHE,3.0,4x4,10.1736,0.4621
101.png,CLAHE,3.0,8x8,9.6834,0.4288
101.png,CLAHE,3.0,16x16,9.2822,0.405
101.png,CLAHE,4.0,4x4,10.9894,0.5156
101.png,CLAHE,4.0,8x8,10.2747,0.4743
101.png,CLAHE,4.0,16x16,9.7358,0.447
102.png,GHE,,,10.9389,0.4323
102.png,CLAHE,1.0,4x4,15.8774,0.5869
102.png,CLAHE,1.0,8x8,15.6715,0.5779
102.png,CLAHE,1.0,16x16,15.2886,0.5518
102.png,CLAHE,2.0,4x4,17.8366,0.7114
102.png,CLAHE,2.0,8x8,17.167,0.692
102.png,CLAHE,2.0,16x16,16.4037,0.6636
102.png,CLAHE,3.0,4x4,19.9263,0.7714
102.png,CLAHE,3.0,8x8,18.4358,0.7446
102.png,CLAHE,3.0,16x16,17.4049,0.7207
102.png,CLAHE,4.0,4x4,21.8287,0.7878
102.png,CLAHE,4.0,8x8,19.5834,0.7601
102.png,CLAHE,4.0,16x16,18.3294,0.7379
103.png,GHE,,,14.1028,0.3066
103.png,CLAHE,1.0,4x4,10.0084,0.1904
103.png,CLAHE,1.0,8x8,9.9986,0.1897
103.png,CLAHE,1.0,16x16,9.8976,0.1805
103.png,CLAHE,2.0,4x4,10.4564,0.2543
103.png,CLAHE,2.0,8x8,10.4378,0.2519
103.png,CLAHE,2.0,16x16,10.3184,0.2435
103.png,CLAHE,3.0,4x4,10.8508,0.3142
103.png,CLAHE,3.0,8x8,10.8262,0.31
103.png,CLAHE,3.0,16x16,10.6891,0.3015
103.png,CLAHE,4.0,4x4,11.227,0.3517
103.png,CLAHE,4.0,8x8,11.202,0.3466
103.png,CLAHE,4.0,16x16,11.0142,0.3363
104.png,GHE,,,15.8413,0.3244
104.png,CLAHE,1.0,4x4,8.1783,0.1343
104.png,CLAHE,1.0,8x8,8.1731,0.1336
104.png,CLAHE,1.0,16x16,8.0937,0.1259
104.png,CLAHE,2.0,4x4,8.5365,0.1821
104.png,CLAHE,2.0,8x8,8.5259,0.1801
104.png,CLAHE,2.0,16x16,8.4352,0.1727
104.png,CLAHE,3.0,4x4,8.8594,0.2291
104.png,CLAHE,3.0,8x8,8.8432,0.225
104.png,CLAHE,3.0,16x16,8.7427,0.2173
104.png,CLAHE,4.0,4x4,9.1637,0.262
104.png,CLAHE,4.0,8x8,9.1379,0.2566
104.png,CLAHE,4.0,16x16,9.0034,0.2473
105.png,GHE,,,16.3545,0.4671
105.png,CLAHE,1.0,4x4,6.869,0.2157
105.png,CLAHE,1.0,8x8,6.8156,0.2088
105.png,CLAHE,1.0,16x16,6.6674,0.1947
105.png,CLAHE,2.0,4x4,7.4289,0.2825
105.png,CLAHE,2.0,8x8,7.3434,0.2726
105.png,CLAHE,2.0,16x16,7.0698,0.2515
105.png,CLAHE,3.0,4x4,7.9644,0.3384
105.png,CLAHE,3.0,8x8,7.8001,0.3213
105.png,CLAHE,3.0,16x16,7.4457,0.2973
105.png,CLAHE,4.0,4x4,8.5134,0.3865
105.png,CLAHE,4.0,8x8,8.2702,0.3644
105.png,CLAHE,4.0,16x16,7.7928,0.3359
106.png,GHE,,,15.155,0.4396
106.png,CLAHE,1.0,4x4,5.9917,0.2065
106.png,CLAHE,1.0,8x8,5.9458,0.2
106.png,CLAHE,1.0,16x16,5.8171,0.1863
106.png,CLAHE,2.0,4x4,6.4876,0.268
106.png,CLAHE,2.0,8x8,6.4105,0.2584
106.png,CLAHE,2.0,16x16,6.1776,0.2373
106.png,CLAHE,3.0,4x4,6.9539,0.3186
106.png,CLAHE,3.0,8x8,6.8108,0.3024
106.png,CLAHE,3.0,16x16,6.5163,0.2786
106.png,CLAHE,4.0,4x4,7.4289,0.3612
106.png,CLAHE,4.0,8x8,7.2186,0.3405
106.png,CLAHE,4.0,16x16,6.8235,0.3125
107.png,GHE,,,14.6026,0.2459
107.png,CLAHE,1.0,4x4,5.3037,0.071
107.png,CLAHE,1.0,8x8,5.292,0.0694
107.png,CLAHE,1.0,16x16,5.2359,0.0627
107.png,CLAHE,2.0,4x4,5.5621,0.1041
107.png,CLAHE,2.0,8x8,5.54,0.1011
107.png,CLAHE,2.0,16x16,5.4755,0.095
107.png,CLAHE,3.0,4x4,5.7945,0.1325
107.png,CLAHE,3.0,8x8,5.7591,0.1277
107.png,CLAHE,3.0,16x16,5.6772,0.1208
107.png,CLAHE,4.0,4x4,6.0162,0.1584
107.png,CLAHE,4.0,8x8,5.9722,0.1516
107.png,CLAHE,4.0,16x16,5.8573,0.1423
109.png,GHE,,,10.1738,0.3184
109.png,CLAHE,1.0,4x4,4.1391,0.318
109.png,CLAHE,1.0,8x8,3.9956,0.301
109.png,CLAHE,1.0,16x16,3.9232,0.2905
109.png,CLAHE,2.0,4x4,4.5855,0.364
109.png,CLAHE,2.0,8x8,4.3373,0.3385
109.png,CLAHE,2.0,16x16,4.1785,0.3198
109.png,CLAHE,3.0,4x4,4.9833,0.3873
109.png,CLAHE,3.0,8x8,4.6168,0.3569
109.png,CLAHE,3.0,16x16,4.4071,0.3335
109.png,CLAHE,4.0,4x4,5.3562,0.3957
109.png,CLAHE,4.0,8x8,4.8892,0.363
109.png,CLAHE,4.0,16x16,4.5617,0.3328
110.png,GHE,,,15.2796,0.4318
110.png,CLAHE,1.0,4x4,9.6305,0.5124
110.png,CLAHE,1.0,8x8,9.3514,0.4894
110.png,CLAHE,1.0,16x16,9.2149,0.4734
110.png,CLAHE,2.0,4x4,10.4682,0.5729
110.png,CLAHE,2.0,8x8,9.9794,0.5432
110.png,CLAHE,2.0,16x16,9.6814,0.5188
110.png,CLAHE,3.0,4x4,11.217,0.5982
110.png,CLAHE,3.0,8x8,10.4932,0.5652
110.png,CLAHE,3.0,16x16,10.1025,0.537
110.png,CLAHE,4.0,4x4,11.9211,0.5997
110.png,CLAHE,4.0,8x8,10.9933,0.5659
110.png,CLAHE,4.0,16x16,10.3513,0.5305
112.png,GHE,,,14.3896,0.4752
112.png,CLAHE,1.0,4x4,10.4069,0.4276
112.png,CLAHE,1.0,8x8,10.2923,0.4188
112.png,CLAHE,1.0,16x16,10.0698,0.3993
112.png,CLAHE,2.0,4x4,11.3821,0.5187
112.png,CLAHE,2.0,8x8,11.1387,0.5039
112.png,CLAHE,2.0,16x16,10.6705,0.4675
112.png,CLAHE,3.0,4x4,12.3566,0.5757
112.png,CLAHE,3.0,8x8,11.8974,0.5541
112.png,CLAHE,3.0,16x16,11.248,0.5139
112.png,CLAHE,4.0,4x4,13.4062,0.6069
112.png,CLAHE,4.0,8x8,12.7001,0.5825
112.png,CLAHE,4.0,16x16,11.8237,0.5401
113.png,GHE,,,14.7271,0.2556
113.png,CLAHE,1.0,4x4,4.5879,0.107
113.png,CLAHE,1.0,8x8,4.5666,0.1042
113.png,CLAHE,1.0,16x16,4.5061,0.0954
113.png,CLAHE,2.0,4x4,4.8536,0.146
113.png,CLAHE,2.0,8x8,4.8248,0.1423
113.png,CLAHE,2.0,16x16,4.7437,0.1315
113.png,CLAHE,3.0,4x4,5.0683,0.1754
113.png,CLAHE,3.0,8x8,5.025,0.1705
113.png,CLAHE,3.0,16x16,4.9398,0.1592
113.png,CLAHE,4.0,4x4,5.2733,0.2001
113.png,CLAHE,4.0,8x8,5.224,0.1952
113.png,CLAHE,4.0,16x16,5.1143,0.182
114.png,GHE,,,13.121,0.2453
114.png,CLAHE,1.0,4x4,4.0499,0.1039
114.png,CLAHE,1.0,8x8,4.0302,0.1011
114.png,CLAHE,1.0,16x16,3.9745,0.0929
114.png,CLAHE,2.0,4x4,4.293,0.1401
114.png,CLAHE,2.0,8x8,4.2659,0.1361
114.png,CLAHE,2.0,16x16,4.1926,0.1259
114.png,CLAHE,3.0,4x4,4.497,0.1683
114.png,CLAHE,3.0,8x8,4.4545,0.1629
114.png,CLAHE,3.0,16x16,4.3767,0.1522
114.png,CLAHE,4.0,4x4,4.6888,0.1915
114.png,CLAHE,4.0,8x8,4.6428,0.1862
114.png,CLAHE,4.0,16x16,4.5437,0.1736
115.png,GHE,,,17.0852,0.3133
115.png,CLAHE,1.0,4x4,5.3774,0.1956
115.png,CLAHE,1.0,8x8,5.312,0.1871
115.png,CLAHE,1.0,16x16,5.2631,0.1785
115.png,CLAHE,2.0,4x4,5.6749,0.2489
115.png,CLAHE,2.0,8x8,5.5722,0.2347
115.png,CLAHE,2.0,16x16,5.5026,0.2252
115.png,CLAHE,3.0,4x4,5.9444,0.2895
115.png,CLAHE,3.0,8x8,5.781,0.2695
115.png,CLAHE,3.0,16x16,5.6844,0.2583
115.png,CLAHE,4.0,4x4,6.2073,0.3138
115.png,CLAHE,4.0,8x8,5.9987,0.2902
115.png,CLAHE,4.0,16x16,5.8611,0.2752
116.png,GHE,,,17.3517,0.3273
116.png,CLAHE,1.0,4x4,8.6153,0.2962
116.png,CLAHE,1.0,8x8,8.5275,0.2861
116.png,CLAHE,1.0,16x16,8.4586,0.2738
116.png,CLAHE,2.0,4x4,9.0383,0.3698
116.png,CLAHE,2.0,8x8,8.8919,0.353
116.png,CLAHE,2.0,16x16,8.7951,0.3405
116.png,CLAHE,3.0,4x4,9.4236,0.4224
116.png,CLAHE,3.0,8x8,9.189,0.4004
116.png,CLAHE,3.0,16x16,9.0512,0.3869
116.png,CLAHE,4.0,4x4,9.8069,0.4563
116.png,CLAHE,4.0,8x8,9.5011,0.4296
116.png,CLAHE,4.0,16x16,9.2976,0.4133
117.png,GHE,,,15.0068,0.2491
117.png,CLAHE,1.0,4x4,5.1693,0.1194
117.png,CLAHE,1.0,8x8,5.1458,0.1157
117.png,CLAHE,1.0,16x16,5.1004,0.1088
117.png,CLAHE,2.0,4x4,5.4245,0.1604
117.png,CLAHE,2.0,8x8,5.3806,0.1538
117.png,CLAHE,2.0,16x16,5.3349,0.1478
117.png,CLAHE,3.0,4x4,5.6517,0.1951
117.png,CLAHE,3.0,8x8,5.5824,0.1854
117.png,CLAHE,3.0,16x16,5.5332,0.1786
117.png,CLAHE,4.0,4x4,5.8696,0.2247
117.png,CLAHE,4.0,8x8,5.7802,0.213
117.png,CLAHE,4.0,16x16,5.7127,0.2048
118.png,GHE,,,15.5779,0.2675
118.png,CLAHE,1.0,4x4,5.6079,0.1325
118.png,CLAHE,1.0,8x8,5.5772,0.1279
118.png,CLAHE,1.0,16x16,5.5267,0.1195
118.png,CLAHE,2.0,4x4,5.8986,0.1805
118.png,CLAHE,2.0,8x8,5.8411,0.1718
118.png,CLAHE,2.0,16x16,5.7901,0.1653
118.png,CLAHE,3.0,4x4,6.1522,0.2189
118.png,CLAHE,3.0,8x8,6.0657,0.2067
118.png,CLAHE,3.0,16x16,6.008,0.1993
118.png,CLAHE,4.0,4x4,6.3931,0.2502
118.png,CLAHE,4.0,8x8,6.2866,0.2366
118.png,CLAHE,4.0,16x16,6.201,0.2261
119.png,GHE,,,13.0284,0.4636
119.png,CLAHE,1.0,4x4,11.7567,0.504
119.png,CLAHE,1.0,8x8,11.5429,0.4828
119.png,CLAHE,1.0,16x16,11.3813,0.4628
119.png,CLAHE,2.0,4x4,12.875,0.6014
119.png,CLAHE,2.0,8x8,12.3828,0.5677
119.png,CLAHE,2.0,16x16,12.0208,0.5368
119.png,CLAHE,3.0,4x4,14.0108,0.653
119.png,CLAHE,3.0,8x8,13.136,0.6101
119.png,CLAHE,3.0,16x16,12.636,0.5758
119.png,CLAHE,4.0,4x4,15.1548,0.671
119.png,CLAHE,4.0,8x8,13.9147,0.6265
119.png,CLAHE,4.0,16x16,13.1575,0.5887
12.png,GHE,,,19.389,0.4307
12.png,CLAHE,1.0,4x4,6.3886,0.1178
12.png,CLAHE,1.0,8x8,6.359,0.1144
12.png,CLAHE,1.0,16x16,6.2908,0.1056
12.png,CLAHE,2.0,4x4,6.7612,0.1687
12.png,CLAHE,2.0,8x8,6.7234,0.1644
12.png,CLAHE,2.0,16x16,6.6131,0.1521
12.png,CLAHE,3.0,4x4,7.1192,0.2146
12.png,CLAHE,3.0,8x8,7.0433,0.2069
12.png,CLAHE,3.0,16x16,6.9126,0.1935
12.png,CLAHE,4.0,4x4,7.4752,0.2548
12.png,CLAHE,4.0,8x8,7.3698,0.2461
12.png,CLAHE,4.0,16x16,7.1983,0.2294
120.png,GHE,,,13.6487,0.4362
120.png,CLAHE,1.0,4x4,5.5714,0.281
120.png,CLAHE,1.0,8x8,5.4766,0.2683
120.png,CLAHE,1.0,16x16,5.3986,0.2559
120.png,CLAHE,2.0,4x4,6.0803,0.3474
120.png,CLAHE,2.0,8x8,5.8807,0.3233
120.png,CLAHE,2.0,16x16,5.7097,0.3003
120.png,CLAHE,3.0,4x4,6.5843,0.3953
120.png,CLAHE,3.0,8x8,6.2277,0.357
120.png,CLAHE,3.0,16x16,5.9994,0.3291
120.png,CLAHE,4.0,4x4,7.0781,0.4256
120.png,CLAHE,4.0,8x8,6.5818,0.3793
120.png,CLAHE,4.0,16x16,6.256,0.3457
121.png,GHE,,,16.2442,0.2735
121.png,CLAHE,1.0,4x4,7.4071,0.1422
121.png,CLAHE,1.0,8x8,7.3447,0.1354
121.png,CLAHE,1.0,16x16,7.2858,0.1269
121.png,CLAHE,2.0,4x4,7.7724,0.201
121.png,CLAHE,2.0,8x8,7.655,0.1875
121.png,CLAHE,2.0,16x16,7.5901,0.1799
121.png,CLAHE,3.0,4x4,8.0939,0.25
121.png,CLAHE,3.0,8x8,7.9177,0.2313
121.png,CLAHE,3.0,16x16,7.8437,0.2229
121.png,CLAHE,4.0,4x4,8.4118,0.2884
121.png,CLAHE,4.0,8x8,8.1747,0.266
121.png,CLAHE,4.0,16x16,8.0828,0.2566
122.png,GHE,,,16.986,0.2761
122.png,CLAHE,1.0,4x4,6.8772,0.1385
122.png,CLAHE,1.0,8x8,6.8228,0.1327
122.png,CLAHE,1.0,16x16,6.7657,0.1244
122.png,CLAHE,2.0,4x4,7.2236,0.1929
122.png,CLAHE,2.0,8x8,7.1156,0.1811
122.png,CLAHE,2.0,16x16,7.0557,0.1741
122.png,CLAHE,3.0,4x4,7.5241,0.2378
122.png,CLAHE,3.0,8x8,7.3606,0.2206
122.png,CLAHE,3.0,16x16,7.2947,0.2135
122.png,CLAHE,4.0,4x4,7.8203,0.2724
122.png,CLAHE,4.0,8x8,7.5991,0.2516
122.png,CLAHE,4.0,16x16,7.5161,0.2435
123.png,GHE,,,18.4659,0.5253
123.png,CLAHE,1.0,4x4,6.7987,0.2396
123.png,CLAHE,1.0,8x8,6.6482,0.2221
123.png,CLAHE,1.0,16x16,6.5769,0.2109
123.png,CLAHE,2.0,4x4,7.366,0.3127
123.png,CLAHE,2.0,8x8,7.0509,0.2822
123.png,CLAHE,2.0,16x16,6.9002,0.2644
123.png,CLAHE,3.0,4x4,7.9298,0.3715
123.png,CLAHE,3.0,8x8,7.4122,0.3271
123.png,CLAHE,3.0,16x16,7.2206,0.3075
123.png,CLAHE,4.0,4x4,8.5091,0.4169
123.png,CLAHE,4.0,8x8,7.8018,0.3656
123.png,CLAHE,4.0,16x16,7.5217,0.3404
124.png,GHE,,,17.3776,0.5133
124.png,CLAHE,1.0,4x4,6.0033,0.2164
124.png,CLAHE,1.0,8x8,5.863,0.1999
124.png,CLAHE,1.0,16x16,5.8004,0.1902
124.png,CLAHE,2.0,4x4,6.5182,0.2827
124.png,CLAHE,2.0,8x8,6.2338,0.2533
124.png,CLAHE,2.0,16x16,6.0967,0.2375
124.png,CLAHE,3.0,4x4,7.0184,0.3329
124.png,CLAHE,3.0,8x8,6.5618,0.2923
124.png,CLAHE,3.0,16x16,6.3891,0.2742
124.png,CLAHE,4.0,4x4,7.5207,0.3709
124.png,CLAHE,4.0,8x8,6.9122,0.3254
124.png,CLAHE,4.0,16x16,6.6596,0.3014
125.png,GHE,,,14.3921,0.357
125.png,CLAHE,1.0,4x4,5.5685,0.2224
125.png,CLAHE,1.0,8x8,5.5062,0.214
125.png,CLAHE,1.0,16x16,5.4348,0.2032
125.png,CLAHE,2.0,4x4,6.0008,0.2814
125.png,CLAHE,2.0,8x8,5.8805,0.2667
125.png,CLAHE,2.0,16x16,5.7513,0.2503
125.png,CLAHE,3.0,4x4,6.4064,0.3264
125.png,CLAHE,3.0,8x8,6.2051,0.3042
125.png,CLAHE,3.0,16x16,6.0445,0.2849
125.png,CLAHE,4.0,4x4,6.8112,0.3607
125.png,CLAHE,4.0,8x8,6.5328,0.3338
125.png,CLAHE,4.0,16x16,6.3101,0.3085
126.png,GHE,,,13.3685,0.3346
126.png,CLAHE,1.0,4x4,4.8044,0.1939
126.png,CLAHE,1.0,8x8,4.7487,0.186
126.png,CLAHE,1.0,16x16,4.685,0.1761
126.png,CLAHE,2.0,4x4,5.1804,0.2475
126.png,CLAHE,2.0,8x8,5.082,0.235
126.png,CLAHE,2.0,16x16,4.9761,0.2207
126.png,CLAHE,3.0,4x4,5.5318,0.2887
126.png,CLAHE,3.0,8x8,5.3649,0.2692
126.png,CLAHE,3.0,16x16,5.2369,0.253
126.png,CLAHE,4.0,4x4,5.8827,0.3217
126.png,CLAHE,4.0,8x8,5.6526,0.2974
126.png,CLAHE,4.0,16x16,5.466,0.2749
127.png,GHE,,,13.3039,0.2332
127.png,CLAHE,1.0,4x4,6.3097,0.2321
127.png,CLAHE,1.0,8x8,6.236,0.2215
127.png,CLAHE,1.0,16x16,6.1862,0.2137
127.png,CLAHE,2.0,4x4,6.712,0.2907
127.png,CLAHE,2.0,8x8,6.5639,0.272
127.png,CLAHE,2.0,16x16,6.4817,0.2609
127.png,CLAHE,3.0,4x4,7.1006,0.337
127.png,CLAHE,3.0,8x8,6.8467,0.3078
127.png,CLAHE,3.0,16x16,6.7204,0.2928
127.png,CLAHE,4.0,4x4,7.4959,0.3735
127.png,CLAHE,4.0,8x8,7.1394,0.3374
127.png,CLAHE,4.0,16x16,6.9589,0.3179
128.png,GHE,,,12.8255,0.1988
128.png,CLAHE,1.0,4x4,5.1888,0.1872
128.png,CLAHE,1.0,8x8,5.1269,0.1775
128.png,CLAHE,1.0,16x16,5.0852,0.1708
128.png,CLAHE,2.0,4x4,5.5081,0.2361
128.png,CLAHE,2.0,8x8,5.4004,0.2212
128.png,CLAHE,2.0,16x16,5.3414,0.2131
128.png,CLAHE,3.0,4x4,5.8162,0.2761
128.png,CLAHE,3.0,8x8,5.6336,0.2532
128.png,CLAHE,3.0,16x16,5.5496,0.2427
128.png,CLAHE,4.0,4x4,6.1232,0.3088
128.png,CLAHE,4.0,8x8,5.8763,0.281
128.png,CLAHE,4.0,16x16,5.7463,0.2656
129.png,GHE,,,11.3995,0.2751
129.png,CLAHE,1.0,4x4,5.4195,0.3232
129.png,CLAHE,1.0,8x8,5.2847,0.3054
129.png,CLAHE,1.0,16x16,5.235,0.2989
129.png,CLAHE,2.0,4x4,5.9854,0.3864
129.png,CLAHE,2.0,8x8,5.6962,0.3545
129.png,CLAHE,2.0,16x16,5.5443,0.3367
129.png,CLAHE,3.0,4x4,6.5503,0.4236
129.png,CLAHE,3.0,8x8,6.0699,0.3816
129.png,CLAHE,3.0,16x16,5.84,0.3582
129.png,CLAHE,4.0,4x4,7.1263,0.4403
129.png,CLAHE,4.0,8x8,6.4623,0.3952
129.png,CLAHE,4.0,16x16,6.1604,0.3684
13.png,GHE,,,13.3682,0.4038
13.png,CLAHE,1.0,4x4,4.9776,0.2516
13.png,CLAHE,1.0,8x8,4.8658,0.2377
13.png,CLAHE,1.0,16x16,4.7682,0.224
13.png,CLAHE,2.0,4x4,5.4715,0.3107
13.png,CLAHE,2.0,8x8,5.2525,0.2864
13.png,CLAHE,2.0,16x16,5.0897,0.2664
13.png,CLAHE,3.0,4x4,5.934,0.3506
13.png,CLAHE,3.0,8x8,5.5656,0.3154
13.png,CLAHE,3.0,16x16,5.3579,0.2929
13.png,CLAHE,4.0,4x4,6.382,0.3765
13.png,CLAHE,4.0,8x8,5.8846,0.3354
13.png,CLAHE,4.0,16x16,5.6012,0.3086
130.png,GHE,,,12.961,0.3017
130.png,CLAHE,1.0,4x4,6.9322,0.3657
130.png,CLAHE,1.0,8x8,6.7644,0.3451
130.png,CLAHE,1.0,16x16,6.7052,0.3379
130.png,CLAHE,2.0,4x4,7.6235,0.4397
130.png,CLAHE,2.0,8x8,7.2647,0.4041
130.png,CLAHE,2.0,16x16,7.075,0.3837
130.png,CLAHE,3.0,4x4,8.3287,0.4838
130.png,CLAHE,3.0,8x8,7.7212,0.4371
130.png,CLAHE,3.0,16x16,7.4398,0.4113
130.png,CLAHE,4.0,4x4,9.0395,0.5015
130.png,CLAHE,4.0,8x8,8.2057,0.4534
130.png,CLAHE,4.0,16x16,7.8292,0.425
131.png,GHE,,,18.4929,0.6788
131.png,CLAHE,1.0,4x4,6.3051,0.2456
131.png,CLAHE,1.0,8x8,6.1908,0.2378
131.png,CLAHE,1.0,16x16,6.0485,0.2241
131.png,CLAHE,2.0,4x4,6.9308,0.3108
131.png,CLAHE,2.0,8x8,6.7324,0.3006
131.png,CLAHE,2.0,16x16,6.4436,0.2768
131.png,CLAHE,3.0,4x4,7.4519,0.3583
131.png,CLAHE,3.0,8x8,7.1838,0.3453
131.png,CLAHE,3.0,16x16,6.8123,0.3196
131.png,CLAHE,4.0,4x4,7.9351,0.3983
131.png,CLAHE,4.0,8x8,7.6362,0.3844
131.png,CLAHE,4.0,16x16,7.171,0.3558
132.png,GHE,,,15.872,0.6105
132.png,CLAHE,1.0,4x4,10.3196,0.4168
132.png,CLAHE,1.0,8x8,10.085,0.4066
132.png,CLAHE,1.0,16x16,9.8291,0.3838
132.png,CLAHE,2.0,4x4,11.3854,0.5252
132.png,CLAHE,2.0,8x8,10.9639,0.5144
132.png,CLAHE,2.0,16x16,10.4415,0.4811
132.png,CLAHE,3.0,4x4,12.3108,0.5977
132.png,CLAHE,3.0,8x8,11.6943,0.5827
132.png,CLAHE,3.0,16x16,10.9906,0.5493
132.png,CLAHE,4.0,4x4,13.1487,0.6467
132.png,CLAHE,4.0,8x8,12.4141,0.6306
132.png,CLAHE,4.0,16x16,11.5381,0.5974
135.png,GHE,,,18.3395,0.4471
135.png,CLAHE,1.0,4x4,5.7963,0.1193
135.png,CLAHE,1.0,8x8,5.7616,0.1167
135.png,CLAHE,1.0,16x16,5.6628,0.1064
135.png,CLAHE,2.0,4x4,6.1951,0.1655
135.png,CLAHE,2.0,8x8,6.1222,0.1612
135.png,CLAHE,2.0,16x16,5.9609,0.1481
135.png,CLAHE,3.0,4x4,6.5754,0.2035
135.png,CLAHE,3.0,8x8,6.4234,0.1944
135.png,CLAHE,3.0,16x16,6.2188,0.1803
135.png,CLAHE,4.0,4x4,6.9407,0.235
135.png,CLAHE,4.0,8x8,6.7288,0.2237
135.png,CLAHE,4.0,16x16,6.4648,0.2065
136.png,GHE,,,18.2125,0.4422
136.png,CLAHE,1.0,4x4,5.8464,0.1192
136.png,CLAHE,1.0,8x8,5.8105,0.1162
136.png,CLAHE,1.0,16x16,5.7096,0.1059
136.png,CLAHE,2.0,4x4,6.2447,0.1657
136.png,CLAHE,2.0,8x8,6.1728,0.1617
136.png,CLAHE,2.0,16x16,6.0059,0.1485
136.png,CLAHE,3.0,4x4,6.6251,0.2046
136.png,CLAHE,3.0,8x8,6.4737,0.1957
136.png,CLAHE,3.0,16x16,6.2693,0.182
136.png,CLAHE,4.0,4x4,6.9971,0.2368
136.png,CLAHE,4.0,8x8,6.7794,0.2261
136.png,CLAHE,4.0,16x16,6.5144,0.2095
137.png,GHE,,,14.8369,0.2059
137.png,CLAHE,1.0,4x4,5.4486,0.1081
137.png,CLAHE,1.0,8x8,5.4255,0.1045
137.png,CLAHE,1.0,16x16,5.3761,0.0968
137.png,CLAHE,2.0,4x4,5.7181,0.1499
137.png,CLAHE,2.0,8x8,5.6764,0.1433
137.png,CLAHE,2.0,16x16,5.633,0.1376
137.png,CLAHE,3.0,4x4,5.9539,0.1852
137.png,CLAHE,3.0,8x8,5.8867,0.1744
137.png,CLAHE,3.0,16x16,5.8561,0.1694
137.png,CLAHE,4.0,4x4,6.1724,0.2138
137.png,CLAHE,4.0,8x8,6.086,0.2006
137.png,CLAHE,4.0,16x16,6.0548,0.195
138.png,GHE,,,14.1727,0.1858
138.png,CLAHE,1.0,4x4,6.1964,0.1196
138.png,CLAHE,1.0,8x8,6.1724,0.1159
138.png,CLAHE,1.0,16x16,6.1202,0.1074
138.png,CLAHE,2.0,4x4,6.4879,0.1651
138.png,CLAHE,2.0,8x8,6.4465,0.1585
138.png,CLAHE,2.0,16x16,6.3991,0.1518
138.png,CLAHE,3.0,4x4,6.7479,0.204
138.png,CLAHE,3.0,8x8,6.6785,0.1923
138.png,CLAHE,3.0,16x16,6.6454,0.1867
138.png,CLAHE,4.0,4x4,6.9866,0.2348
138.png,CLAHE,4.0,8x8,6.9006,0.2215
138.png,CLAHE,4.0,16x16,6.8654,0.215
139.png,GHE,,,13.086,0.2659
139.png,CLAHE,1.0,4x4,8.5824,0.2132
139.png,CLAHE,1.0,8x8,8.5203,0.2043
139.png,CLAHE,1.0,16x16,8.4577,0.1933
139.png,CLAHE,2.0,4x4,8.9543,0.2744
139.png,CLAHE,2.0,8x8,8.8656,0.2628
139.png,CLAHE,2.0,16x16,8.8043,0.2537
139.png,CLAHE,3.0,4x4,9.2858,0.3212
139.png,CLAHE,3.0,8x8,9.1536,0.3066
139.png,CLAHE,3.0,16x16,9.0876,0.2979
139.png,CLAHE,4.0,4x4,9.6127,0.36
139.png,CLAHE,4.0,8x8,9.4264,0.3417
139.png,CLAHE,4.0,16x16,9.3543,0.3327
14.png,GHE,,,14.9384,0.4149
14.png,CLAHE,1.0,4x4,6.0045,0.2801
14.png,CLAHE,1.0,8x8,5.8802,0.2653
14.png,CLAHE,1.0,16x16,5.7681,0.2499
14.png,CLAHE,2.0,4x4,6.5677,0.345
14.png,CLAHE,2.0,8x8,6.3162,0.3186
14.png,CLAHE,2.0,16x16,6.1315,0.2973
